# Wave 5 rename manifest. Reviewed as a list, not as a diff.
# old	new	module	collision-group	declared in
LifeBoardActionReceipt	ActionReceipt	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardActionReceiptStore	ActionReceiptStore	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardAdaptiveAtmosphere	AdaptiveAtmosphere	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAdaptiveHome	AdaptiveHome	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
LifeBoardAppRouter	AppRouter	Foundation		LifeBoard/Foundation/Navigation/LifeBoardAppRouter.swift
FoundationAppearanceSettingsView	AppearanceSettingsView	Foundation		LifeBoard/Foundation/Navigation/FoundationSettingsRoutes.swift
LifeBoardAtmosphereClock	AtmosphereClock	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmosphereDescriptor	AtmosphereDescriptor	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmosphereHost	AtmosphereHost	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmosphereHostedKey	AtmosphereHostedKey	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmospherePlacement	AtmospherePlacement	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmosphereSnapshot	AtmosphereSnapshot	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmosphereSnapshotKey	AtmosphereSnapshotKey	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardAtmosphereSnapshotReader	AtmosphereSnapshotReader	Foundation		LifeBoard/Foundation/Navigation/FoundationShellDestinationRoot.swift
LifeBoardAtmosphereView	AtmosphereView	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
FoundationCaptureSheet	CaptureSheet	Foundation		LifeBoard/Foundation/Navigation/FoundationCaptureHosts.swift
LifeBoardCelestialPhase	CelestialPhase	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardCelestialPhaseFixture	CelestialPhaseFixture	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
LifeBoardComposerPreviewCard	ComposerPreviewCard	Foundation		LifeBoard/Foundation/Navigation/HomeCardPlacementSheet.swift
LifeBoardComposerReceiptView	ComposerReceiptView	Foundation		LifeBoard/Foundation/Navigation/HomeCardPlacementSheet.swift
FoundationDayCloseRouteView	DayCloseRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationPlanRoutes.swift
LifeBoardDaypartResolver	DaypartResolver	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardDestination	Destination	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardDestinationRootStorage	DestinationRootStorage	Foundation		LifeBoard/Foundation/Navigation/FoundationShellDestinationRoot.swift
FoundationDisplayPanel	DisplayPanel	Foundation		LifeBoard/Foundation/Navigation/FoundationDisplayPanel.swift
LifeBoardDockLift	DockLift	Foundation		LifeBoard/Foundation/Navigation/FoundationShellModifiers.swift
LifeOSDomainContract	DomainContract	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
FoundationEntityRouteScaffold	EntityRouteScaffold	Foundation		LifeBoard/Foundation/Navigation/FoundationEntityRouteScaffold.swift
FoundationEvaDestination	EvaDestination	Foundation		LifeBoard/Foundation/Navigation/FoundationEvaDestination.swift
FoundationEvidenceRow	EvidenceRow	Foundation		LifeBoard/Foundation/Navigation/FoundationInsightRows.swift
FoundationFocusSessionRouteView	FocusSessionRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationPlanRoutes.swift
LifeBoardFoundationPreferenceKey	FoundationPreferenceKey	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeOSFoundationRuntime	FoundationRuntime	Foundation		LifeBoard/Foundation/Navigation/LifeBoardAppRouter.swift
LifeOSFoundationSchema	FoundationSchema	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeOSFoundationShell	FoundationShell	Foundation		LifeBoard/Foundation/Navigation/LifeOSFoundationShell.swift
LifeBoardGlassSurfaceModifier	GlassSurfaceModifier	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
FoundationGoalRouteView	GoalRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationTrackRoutes.swift
FoundationHabitCaptureHost	HabitCaptureHost	Foundation		LifeBoard/Foundation/Navigation/FoundationCaptureHosts.swift
FoundationHabitRouteView	HabitRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationHabitAndTrackerRoutes.swift
SunriseHabitTokens	HabitTokens	LifeBoardDesign		LifeBoard/LifeBoardDesign/Tokens/LBColorTokens.swift
SunriseHeroArtwork	HeroArtwork	LifeBoardDesign		LifeBoard/LifeBoardDesign/Backgrounds/LBSunriseHeroArtwork.swift
FoundationInsightMetric	InsightMetric	Foundation		LifeBoard/Foundation/Navigation/FoundationInsightRows.swift
FoundationInsightsDestination	InsightsDestination	Foundation		LifeBoard/Foundation/Navigation/FoundationInsightsDestination.swift
LifeBoardInteractionOrigin	InteractionOrigin	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
LifeBoardInteractionPhase	InteractionPhase	Foundation		LifeBoard/Foundation/LifeOSFoundationContracts.swift
FoundationInteractiveGlassModifier	InteractiveGlassModifier	Foundation		LifeBoard/Foundation/Navigation/FoundationShellModifiers.swift
FoundationJournalDayRouteView	JournalDayRouteView	Foundation		LifeBoard/Foundation/Navigation/FoundationJournalRoutes.swift
LifeBoardJournalMood	JournalMood	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
LifeBoardJournalMoodDialSheet	JournalMoodDialSheet	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
LifeBoardJournalMoodWheel	JournalMoodWheel	Foundation		LifeBoard/Foundation/Design/LifeBoardFoundationGallery.swift
LifeBoardLaunchHostController	LaunchHostController	SceneDelegate.swift		LifeBoard/SceneDelegate.swift
SunriseMaterialTokens	MaterialTokens	LifeBoardDesign		LifeBoard/LifeBoardDesign/Tokens/LBColorTokens.swift
LifeBoardMetricKitSubscriber	MetricKitSubscriber	AppDelegate.swift		LifeBoard/AppDelegate.swift
LifeBoardMetricRing	MetricRing	Foundation		LifeBoard/Foundation/Design/LifeBoardAtmosphereRenderer.swift
